Count,Card Name,Expansion,Collection No.,Class
2,Applin,SCR,12,Basic Pokémon
1,Celebi,MEG,12,Basic Pokémon
3,Chikorita,ASC,8,Basic Pokémon
1,Fezandipiti ex,SFA,38,Basic Pokémon
1,Meowth ex,POR,62,Basic Pokémon
4,Teal Mask Ogerpon ex,TWM,25,Basic Pokémon
2,Bayleef,MEG,9,Stage 1 Pokémon
2,Dipplin,SCR,13,Stage 1 Pokémon
2,Hydrapple ex,SCR,14,Stage 2 Pokémon
1,Mega Meganium ex,ASC,10,Stage 2 Pokémon
2,Meganium,MEG,10,Stage 2 Pokémon
2,Boss’s Orders,PAL,172,Supporter
2,Dawn,PFL,87,Supporter
1,Judge,SVI,176,Supporter
1,Lana’s Aid,TWM,155,Supporter
3,Lillie's Determination,MEG,119,Supporter
4,Bug Catching Set,TWM,143,Item
2,Night Stretcher,SFA,61,Item
2,Poké Pad,POR,81,Item
3,Ultra Ball,SVI,196,Item
1,Unfair Stamp,TWM,165,Item
4,Forest of Vitality,MEG,117,Stadium
14,Basic {G} Energy,SVE,1,Basic Energy
