Count,Card Name,Expansion,Collection No.,Class
1,Cornerstone Mask Ogerpon ex,TWM,112,Basic Pokémon
4,Dwebble,DRI,11,Basic Pokémon
2,Mega Kangaskhan ex,MEG,104,Basic Pokémon
3,Crustle,DRI,12,Stage 1 Pokémon
4,Boss’s Orders,PAL,172,Supporter
2,Colress’s Tenacity,SFA,57,Supporter
2,Hilda,WHT,84,Supporter
4,Lillie's Determination,MEG,119,Supporter
4,Team Rocket's Petrel,DRI,176,Supporter
1,Xerosic’s Machinations,SFA,64,Supporter
2,Buddy-Buddy Poffin,TEF,144,Item
4,Jumbo Ice Cream,PFL,91,Item
4,Pokégear 3.0,SVI,186,Item
1,Switch,SVI,194,Item
1,Tool Scrapper,WHT,85,Item
2,Ultra Ball,SVI,196,Item
1,Hero’s Cape,TEF,152,Pokémon Tool
1,Battle Cage,PFL,85,Stadium
1,Team Rocket's Factory,DRI,173,Stadium
2,Basic {G} Energy,SVE,1,Basic Energy
4,Grow Grass Energy,POR,86,Special Energy
4,Mist Energy,TEF,161,Special Energy
2,Rock Fighting Energy,POR,88,Special Energy
4,Spiky Energy,JTG,159,Special Energy
